model_name,k,pca_dims,authors_count,noise_count,silhouette_avg,calinski_harabasz_avg,davies_bouldin_avg,norm_silhouette,norm_calinski,norm_davies,combined_score
hierarchical,8,5,29,0,0.6721769711421545,50.264184497595245,0.4162192545463478,0.860245,0.190024,0.910108,0.798209
spectral,7,5,29,0,0.6721408760506504,40.988950338909014,0.4135572901792416,0.860174,0.152807,0.910949,0.794515
gmm,13,10,29,0,0.6665658544971789,48.871000407348326,0.33265536457398404,0.849224,0.184434,0.936517,0.791474
agglomerative,7,2,29,0,0.6606445390269948,70.84706379943776,0.39144254797825484,0.837593,0.272614,0.917938,0.78913
kmeans,13,10,29,0,0.665089120753059,47.914345739780735,0.3316469800183307,0.846323,0.180595,0.936836,0.788802
spectral,12,10,29,0,0.6719235888493567,31.887106559240237,0.5107693336566075,0.859747,0.116285,0.880226,0.787449
gmm,13,2,29,0,0.6264464444002853,180.81443023573922,0.2870752915401954,0.770423,0.713862,0.950923,0.782817
kmeans,13,2,29,0,0.6258848630140814,179.64349835684402,0.28721703070218346,0.76932,0.709164,0.950878,0.78146
agglomerative,15,2,29,0,0.6008820634133144,251.76483243885048,0.13194201014430235,0.72021,0.998554,0.999951,0.776019
hierarchical,15,2,29,0,0.6008793264380259,251.592722315075,0.1317879299057165,0.720205,0.997863,1.0,0.77595
kmeans,15,2,29,0,0.6001579683605255,248.18188684034195,0.13254741327322989,0.718788,0.984177,0.99976,0.773424
agglomerative,14,10,29,0,0.6474531361346503,53.180818770273696,0.3540948431494345,0.811683,0.201727,0.929742,0.762493
hierarchical,14,10,29,0,0.6473023734846797,53.84426766887036,0.35716278721481354,0.811387,0.204389,0.928772,0.762426
agglomerative,14,2,29,0,0.5981091630227849,212.40524923878982,0.2142768311922742,0.714764,0.840622,0.97393,0.753266
gmm,14,2,29,0,0.597859864701434,211.91462131573115,0.21450766929931,0.714274,0.838653,0.973857,0.75267
hierarchical,14,2,29,0,0.5976615829189621,211.0717920152937,0.2146803557567516,0.713885,0.835271,0.973803,0.752015
kmeans,14,2,29,0,0.5972088969284722,210.03856354042122,0.21497571527623546,0.712995,0.831126,0.973709,0.75088
gmm,6,2,29,0,0.6305031673236816,78.24694430027056,0.45403318737108306,0.778391,0.302306,0.898157,0.742759
kmeans,6,2,29,0,0.6301476617994317,78.17308134810825,0.4542252760543642,0.777692,0.30201,0.898096,0.742165
