author,cluster,n_clusters,pca_dims,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
"Berzal Herranz, Alfredo",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Gómez Castilla, Jordi",0,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Ortiz Fernández, Lourdes",1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Márquez Ortiz, Ana María",1,2,2,5,0.4590650226262084,23.613559213004113,0.7072757694495783
"Sánchez Navarro, Macarena",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"López López, Manuel Carlos",-1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Thomas, María del Carmen",-1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"González Rey, Elena",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Delgado Mora, Mario",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Pérez Victoria, José María",1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Morales Sánchez, Juan Carlos",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Martín Ibáñez, Javier",0,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Hernández López de Munaín, Cristina",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Suñé, Carlos",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Castanys, Santiago",-1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Matesanz del Barrio, Fuencisla",0,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Alcina, Antonio",0,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"González Pacanowska, Dolores",1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Ruiz Pérez, Luis Miguel",1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Navarro Carretero, Miguel",1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Estévez García, Antonio Manuel",1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Acosta Herrera, Marialbert",0,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Vidal Romero, Antonio",1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"López Giménez, Juan F.",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Oliver Pozo, Francisco Javier",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Gómez Díaz, Elena",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Zubiaur, Mercedes",-1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Sánchez Luque, Francisco José",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Sancho López, Jaime",-1,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Berzal Herranz, Alfredo",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Gómez Castilla, Jordi",2,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Ortiz Fernández, Lourdes",0,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Márquez Ortiz, Ana María",0,3,2,3,0.479096065818836,18.710295713238178,2.0611264880337137
"Sánchez Navarro, Macarena",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"López López, Manuel Carlos",-1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Thomas, María del Carmen",-1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"González Rey, Elena",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Delgado Mora, Mario",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Pérez Victoria, José María",2,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Morales Sánchez, Juan Carlos",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Martín Ibáñez, Javier",0,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Hernández López de Munaín, Cristina",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
"Suñé, Carlos",1,4,2,2,0.46672466693718384,19.8355625342393,1.457038789479864
