author,cluster,eps,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Ortiz Fernández, Lourdes",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Márquez Ortiz, Ana María",0,0.5,5,0.4494130357570805,6.8405783439063335,0.5162318438130238
"Sánchez Navarro, Macarena",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"López López, Manuel Carlos",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Thomas, María del Carmen",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"González Rey, Elena",1,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Delgado Mora, Mario",1,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Pérez Victoria, José María",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Morales Sánchez, Juan Carlos",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Martín Ibáñez, Javier",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Hernández López de Munaín, Cristina",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Suñé, Carlos",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Castanys, Santiago",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Matesanz del Barrio, Fuencisla",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Alcina, Antonio",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"González Pacanowska, Dolores",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Ruiz Pérez, Luis Miguel",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Navarro Carretero, Miguel",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Estévez García, Antonio Manuel",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Acosta Herrera, Marialbert",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Vidal Romero, Antonio",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"López Giménez, Juan F.",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Oliver Pozo, Francisco Javier",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Gómez Díaz, Elena",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Zubiaur, Mercedes",2,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Sánchez Luque, Francisco José",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Sancho López, Jaime",2,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Berzal Herranz, Alfredo",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Gómez Castilla, Jordi",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Ortiz Fernández, Lourdes",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Márquez Ortiz, Ana María",0,0.7,5,0.4311564822451678,6.186192684078392,0.5175868763598671
"Sánchez Navarro, Macarena",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"López López, Manuel Carlos",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Thomas, María del Carmen",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"González Rey, Elena",1,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Delgado Mora, Mario",1,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Pérez Victoria, José María",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Morales Sánchez, Juan Carlos",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Martín Ibáñez, Javier",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Hernández López de Munaín, Cristina",2,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Suñé, Carlos",2,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Castanys, Santiago",0,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Matesanz del Barrio, Fuencisla",3,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
"Alcina, Antonio",3,0.9,10,0.41171206931422916,4.604112746701747,0.6763723742438934
