author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"López López, Manuel Carlos",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Thomas, María del Carmen",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"González Rey, Elena",2,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Martín Ibáñez, Javier",1,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Delgado Mora, Mario",2,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Pérez Victoria, José María",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Morales Sánchez, Juan Carlos",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Hernández López de Munaín, Cristina",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Suñé, Carlos",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Castanys, Santiago",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Matesanz del Barrio, Fuencisla",1,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Alcina, Antonio",1,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"González Pacanowska, Dolores",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Ruiz Pérez, Luis Miguel",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Navarro Carretero, Miguel",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Estévez García, Antonio Manuel",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Acosta Herrera, Marialbert",1,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Vidal Romero, Antonio",0,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"López Giménez, Juan F.",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Oliver Pozo, Francisco Javier",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Gómez Díaz, Elena",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Zubiaur, Mercedes",2,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Sánchez Luque, Francisco José",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Sancho López, Jaime",2,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Berzal Herranz, Alfredo",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Gómez Castilla, Jordi",3,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Ortiz Fernández, Lourdes",1,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Márquez Ortiz, Ana María",1,4,2,0.5994213897038796,56.620522506885926,0.48742783557630687
"Sánchez Navarro, Macarena",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"López López, Manuel Carlos",0,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Thomas, María del Carmen",0,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"González Rey, Elena",2,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Martín Ibáñez, Javier",1,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Delgado Mora, Mario",2,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Pérez Victoria, José María",0,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Morales Sánchez, Juan Carlos",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Hernández López de Munaín, Cristina",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Suñé, Carlos",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Castanys, Santiago",0,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Matesanz del Barrio, Fuencisla",1,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Alcina, Antonio",1,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"González Pacanowska, Dolores",4,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Ruiz Pérez, Luis Miguel",4,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Navarro Carretero, Miguel",4,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Estévez García, Antonio Manuel",0,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Acosta Herrera, Marialbert",1,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Vidal Romero, Antonio",4,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"López Giménez, Juan F.",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Oliver Pozo, Francisco Javier",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Gómez Díaz, Elena",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Zubiaur, Mercedes",2,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Sánchez Luque, Francisco José",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Sancho López, Jaime",2,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Berzal Herranz, Alfredo",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Gómez Castilla, Jordi",3,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Ortiz Fernández, Lourdes",1,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Márquez Ortiz, Ana María",1,5,2,0.626910364810042,83.2953595201145,0.5263538959202291
"Sánchez Navarro, Macarena",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"López López, Manuel Carlos",5,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Thomas, María del Carmen",5,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"González Rey, Elena",2,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Martín Ibáñez, Javier",1,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Delgado Mora, Mario",2,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Pérez Victoria, José María",0,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Morales Sánchez, Juan Carlos",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Hernández López de Munaín, Cristina",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Suñé, Carlos",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Castanys, Santiago",0,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Matesanz del Barrio, Fuencisla",1,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Alcina, Antonio",1,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"González Pacanowska, Dolores",4,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Ruiz Pérez, Luis Miguel",4,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Navarro Carretero, Miguel",4,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Estévez García, Antonio Manuel",0,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Acosta Herrera, Marialbert",1,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Vidal Romero, Antonio",4,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"López Giménez, Juan F.",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Oliver Pozo, Francisco Javier",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Gómez Díaz, Elena",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Zubiaur, Mercedes",2,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Sánchez Luque, Francisco José",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Sancho López, Jaime",2,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Berzal Herranz, Alfredo",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Gómez Castilla, Jordi",3,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Ortiz Fernández, Lourdes",1,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Márquez Ortiz, Ana María",1,6,2,0.6645955325059417,95.26425235293097,0.40419501008752623
"Sánchez Navarro, Macarena",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"López López, Manuel Carlos",0,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Thomas, María del Carmen",0,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"González Rey, Elena",2,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Martín Ibáñez, Javier",4,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Delgado Mora, Mario",2,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Pérez Victoria, José María",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Morales Sánchez, Juan Carlos",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Hernández López de Munaín, Cristina",5,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Suñé, Carlos",5,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Castanys, Santiago",0,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Matesanz del Barrio, Fuencisla",6,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Alcina, Antonio",6,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"González Pacanowska, Dolores",3,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Ruiz Pérez, Luis Miguel",3,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Navarro Carretero, Miguel",3,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Estévez García, Antonio Manuel",3,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Acosta Herrera, Marialbert",4,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Vidal Romero, Antonio",3,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"López Giménez, Juan F.",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Oliver Pozo, Francisco Javier",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Gómez Díaz, Elena",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Zubiaur, Mercedes",2,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Sánchez Luque, Francisco José",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Sancho López, Jaime",2,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Berzal Herranz, Alfredo",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Gómez Castilla, Jordi",1,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Ortiz Fernández, Lourdes",4,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Márquez Ortiz, Ana María",4,7,5,0.7018423559600026,55.43643319149218,0.35174975054484464
"Sánchez Navarro, Macarena",2,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"López López, Manuel Carlos",6,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Thomas, María del Carmen",6,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"González Rey, Elena",5,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Martín Ibáñez, Javier",1,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Delgado Mora, Mario",5,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Pérez Victoria, José María",0,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Morales Sánchez, Juan Carlos",2,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Hernández López de Munaín, Cristina",7,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Suñé, Carlos",7,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Castanys, Santiago",0,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Matesanz del Barrio, Fuencisla",1,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Alcina, Antonio",1,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"González Pacanowska, Dolores",4,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Ruiz Pérez, Luis Miguel",4,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Navarro Carretero, Miguel",4,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Estévez García, Antonio Manuel",0,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
"Acosta Herrera, Marialbert",1,8,2,0.6981756400248038,103.84150139374303,0.30419856074012935
