author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Morales Sánchez, Juan Carlos",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Hernández López de Munaín, Cristina",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Suñé, Carlos",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Castanys, Santiago",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Matesanz del Barrio, Fuencisla",2,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Alcina, Antonio",2,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"González Pacanowska, Dolores",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Ruiz Pérez, Luis Miguel",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Navarro Carretero, Miguel",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Estévez García, Antonio Manuel",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Acosta Herrera, Marialbert",2,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Vidal Romero, Antonio",0,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"López Giménez, Juan F.",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Oliver Pozo, Francisco Javier",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Gómez Díaz, Elena",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Zubiaur, Mercedes",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Sánchez Luque, Francisco José",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Sancho López, Jaime",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Berzal Herranz, Alfredo",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Gómez Castilla, Jordi",1,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Ortiz Fernández, Lourdes",2,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Márquez Ortiz, Ana María",2,3,2,0.6040792682741162,47.820271250853395,0.5718739917605951
"Sánchez Navarro, Macarena",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"López López, Manuel Carlos",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Thomas, María del Carmen",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"González Rey, Elena",0,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Martín Ibáñez, Javier",3,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Delgado Mora, Mario",0,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Pérez Victoria, José María",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Morales Sánchez, Juan Carlos",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Hernández López de Munaín, Cristina",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Suñé, Carlos",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Castanys, Santiago",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Matesanz del Barrio, Fuencisla",3,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Alcina, Antonio",3,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"González Pacanowska, Dolores",2,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Ruiz Pérez, Luis Miguel",2,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Navarro Carretero, Miguel",2,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Estévez García, Antonio Manuel",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Acosta Herrera, Marialbert",3,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Vidal Romero, Antonio",2,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"López Giménez, Juan F.",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Oliver Pozo, Francisco Javier",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Gómez Díaz, Elena",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Zubiaur, Mercedes",0,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Sánchez Luque, Francisco José",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Sancho López, Jaime",0,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Berzal Herranz, Alfredo",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Gómez Castilla, Jordi",1,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Ortiz Fernández, Lourdes",3,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Márquez Ortiz, Ana María",3,4,2,0.519521732249223,40.8580263636125,0.5377691771473407
"Sánchez Navarro, Macarena",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"López López, Manuel Carlos",4,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Thomas, María del Carmen",4,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"González Rey, Elena",3,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Martín Ibáñez, Javier",2,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Delgado Mora, Mario",3,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Pérez Victoria, José María",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Morales Sánchez, Juan Carlos",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Hernández López de Munaín, Cristina",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Suñé, Carlos",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Castanys, Santiago",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Matesanz del Barrio, Fuencisla",2,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Alcina, Antonio",2,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"González Pacanowska, Dolores",1,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Ruiz Pérez, Luis Miguel",1,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Navarro Carretero, Miguel",1,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Estévez García, Antonio Manuel",1,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Acosta Herrera, Marialbert",2,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Vidal Romero, Antonio",1,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"López Giménez, Juan F.",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Oliver Pozo, Francisco Javier",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Gómez Díaz, Elena",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Zubiaur, Mercedes",3,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
"Sánchez Luque, Francisco José",0,5,2,0.6118342168906233,64.28961446785728,0.4110129655766432
