author,cluster,k,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Castanys, Santiago",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Matesanz del Barrio, Fuencisla",1,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Alcina, Antonio",1,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"González Pacanowska, Dolores",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Ruiz Pérez, Luis Miguel",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Navarro Carretero, Miguel",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Estévez García, Antonio Manuel",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Acosta Herrera, Marialbert",1,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Vidal Romero, Antonio",0,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"López Giménez, Juan F.",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Oliver Pozo, Francisco Javier",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Gómez Díaz, Elena",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Zubiaur, Mercedes",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Sánchez Luque, Francisco José",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Sancho López, Jaime",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Berzal Herranz, Alfredo",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Gómez Castilla, Jordi",2,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Ortiz Fernández, Lourdes",1,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Márquez Ortiz, Ana María",1,3,2,0.5870823301775328,44.75145082220681,0.5926246132246721
"Sánchez Navarro, Macarena",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"López López, Manuel Carlos",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Thomas, María del Carmen",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"González Rey, Elena",2,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Delgado Mora, Mario",2,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Pérez Victoria, José María",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Morales Sánchez, Juan Carlos",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Martín Ibáñez, Javier",1,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Hernández López de Munaín, Cristina",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Suñé, Carlos",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Castanys, Santiago",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Matesanz del Barrio, Fuencisla",1,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Alcina, Antonio",1,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"González Pacanowska, Dolores",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Ruiz Pérez, Luis Miguel",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Navarro Carretero, Miguel",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Estévez García, Antonio Manuel",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Acosta Herrera, Marialbert",1,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Vidal Romero, Antonio",0,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"López Giménez, Juan F.",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Oliver Pozo, Francisco Javier",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Gómez Díaz, Elena",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Zubiaur, Mercedes",2,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Sánchez Luque, Francisco José",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Sancho López, Jaime",2,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
"Berzal Herranz, Alfredo",3,4,2,0.5593564450122417,46.663486511474574,0.5427617785982262
