author,cluster,n_clusters,pca_dims,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
"Ortiz Fernández, Lourdes",2,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Márquez Ortiz, Ana María",2,3,5,2,0.27078620417724397,3.5366287639398273,3.3092088779912414
"Sánchez Navarro, Macarena",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"López López, Manuel Carlos",-1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Thomas, María del Carmen",-1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"González Rey, Elena",2,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Delgado Mora, Mario",-1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Pérez Victoria, José María",-1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Morales Sánchez, Juan Carlos",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Martín Ibáñez, Javier",0,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Hernández López de Munaín, Cristina",2,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Suñé, Carlos",2,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Castanys, Santiago",-1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Matesanz del Barrio, Fuencisla",0,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Alcina, Antonio",0,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"González Pacanowska, Dolores",1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Ruiz Pérez, Luis Miguel",1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Navarro Carretero, Miguel",1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Estévez García, Antonio Manuel",1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Acosta Herrera, Marialbert",0,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Vidal Romero, Antonio",1,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"López Giménez, Juan F.",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Oliver Pozo, Francisco Javier",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Gómez Díaz, Elena",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Zubiaur, Mercedes",2,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Sánchez Luque, Francisco José",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Sancho López, Jaime",2,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Berzal Herranz, Alfredo",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Gómez Castilla, Jordi",3,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Ortiz Fernández, Lourdes",0,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
"Márquez Ortiz, Ana María",0,4,2,3,0.506487622766301,28.977779221426196,0.9589170310601232
